Invoice No,Invoice Date,Vendor Name,Vendor GSTIN,HSN/SAC,Taxable Value,GST Rate,CGST,SGST,IGST,Total Invoice Value
INV-1001,02-05-2026,Sharma Enterprises,07AAACS1234F1Z5,8471,100000,18%,9000,9000,0,118000
INV-1002,03-05-2026,Kumar Traders,09AAACK5678G1Z3,8517,50000,18%,4500,4500,0,59000
INV-1003,05-05-2026,Patel Industries,24AAACP9012H1Z7,8443,75000,12%,4500,4500,0,84000
INV-1005,10-05-2026,Singh & Co,27AABCS3456J1Z9,9954,200000,18%,18000,18000,0,236000
INV-1006,12-05-2026,Verma Logistics,06AABCV7890K1Z1,9967,30000,5%,750,750,0,31500
INV-1007,15-05-2026,Gupta Stationers,07AABCG2345L1Z4,4820,15000,12%,900,900,0,16800
INV-1008,18-05-2026,Reddy Tech Solutions,36AABCR6789M1Z6,9983,120000,18%,10800,10800,0,141600
INV-1009,20-05-2026,Sharma Enterprises,07AAACS1234F1Z5,8471,45000,18%,4050,4050,0,53100
INV-1010,22-05-2026,Iyer Consultants,33AABCI1234N1Z8,9982,60000,18%,5400,5400,0,70800
INV-1011,25-05-2026,Mehta Furniture,24AABCM5678O1Z2,9403,80000,12%,4800,4800,0,89600
INV-1012,28-05-2026,Kumar Traders,09AAACK5678G1Z3,8517,25000,18%,2250,2250,0,29500
INV-1001,02-05-2026,Sharma Enterprises,07AAACS1234F1Z5,8471,100000,18%,9000,9000,0,118000
